baris_id;teks_aksara;transliterasi;terjemahan;Unnamed: 4;Unnamed: 5;Unnamed: 6;Unnamed: 7
B001;ꦎm;Om;Wighnam;;;;
B002;ꦄstꦈ;astu;semoga;;;;
B003;ꦤꦩ;nama;nama;;;;
B004;sꦆddꦲm;siddham;berhasil;;;;
B005;ꦥꦔkꦱꦩnꦆng;Pangaksamaning;Pengampunan;;;;
B006;hꦈlꦈn;hulun;hamba;;;;
B007;rꦆ;ri;pada;;;;
B008;bꦲꦠꦫ;Bhatara;Dewa;;;;
B009;hꦪng;Hyang;Tuhan;;;;
B010;ꦩmꦆ;Mami;saya;;;;
B011;ꦱng;sang;yang;;;;
B012;gꦆnꦭrꦆng;ginlaring;dilahirkan;;;;
B013;ꦱrꦆnꦆng;sarining;inti;;;;
B014;ꦎngꦏꦫtꦤ;ongkaratna;Ongkara Ratna;;;;
B015;ꦩntꦫm;mantram;mantra;;;;
B016;sꦆꦫ;sira;beliau;;;;
B017;ꦄnꦈgꦫꦲ;anugraha;anugerah;;;;
B018;rꦆng;ring;pada;;;;
B019;ꦲꦤ;hana;ada;;;;
B020;ꦮꦏ;waka;kisah;;;;
B021;pꦈrwꦮ;purwwa;lampau;;;;
B022;nꦆꦫ;nira;beliau;;;;
B023;ꦱng;sang;yang;;;;
B024;wꦈs;wus;sudah;;;;
B025;lꦌꦥs;lepas;lepas;;;;
B026;lꦈpꦈꦠ;luputa;terhindar;;;;
B027;ꦩmꦆ;mami;saya;;;;
B028;rꦆng;ring;dari;;;;
B029;tꦈꦭh;tulah;cacat;;;;
B030;ꦥmꦆdhꦆ;pamidhi;dosa;;;;
B031;mꦮng;mwang;dan;;;;
B032;ꦱwꦆgꦫꦲnꦆng;sawigrahaning;kesalahan;;;;
B033;ꦩꦭ;mala;kotor;;;;
B034;ꦥꦥ;papa;dosa;;;;
B035;ꦥꦠꦏ;pataka;petaka;;;;
B036;ꦠn;tan;tidak;;;;
B037;ꦏꦠꦩꦤ;katamana;terkena;;;;
B038;rꦆng;ring;pada;;;;
B039;ꦈꦥdꦫꦮ;upadrawa;gangguan;;;;
B040;dꦌ;de;tuan;;;;
B041;bꦲꦠꦫ;Bhatara;Dewa;;;;
B042;hꦪng;Hyang;Tuhan;;;;
B043;ꦩmꦆ;Mami;saya;;;;
B044;ꦮstꦈ;wastu;semoga;;;;
B045;ꦥrꦆpꦈrꦤ;paripurna;sampurna;;;;
B046;ꦄnꦌmꦈꦄkꦌn;anemuaken;mendapatkan;;;;
B047;ꦲyꦈ;hayu;kebaikan;;;;
B048;dhꦆrgꦲ;dhirgha;panjang;;;;
B049;yꦈꦱ;yusa;umur;;;;
B050;tkꦌng;tkeng;bagi;;;;
B051;kꦈꦭ;kula;saya;;;;
B052;gꦎtꦫ;gotra;keluarga;;;;
B053;ꦱnꦠꦤ;santana;keterunan;;;;
B054;ꦤmꦎs;namos;hormat;;;;
B055;ꦗꦒddhꦆꦠ;jagaddhita;kesejahteraan dunia;;;;
B056;ꦪ;ya;itulah;;;;
B057;rꦆng;Ring;pada;;;;
B058;pꦈrwꦮ;purwwa;kala;;;;
B059;ꦏꦭ;kala;waktu;;;;
B060;ꦲꦤ;hana;ada;;;;
B061;ꦩꦪ;maya;ilusi;;;;
B062;ꦱktꦆ;sakti;kekuatan;;;;
